---------------
WORDS: sport three terms 

and RESULT ITEMS:
SCORE: 9.190562 | ITEM NUMBER 166 | ITEM ID: 1740526
SCORE: 9.190562 | ITEM NUMBER 167 | ITEM ID: 1747920
SCORE: 9.190562 | ITEM NUMBER 168 | ITEM ID: 1409216
SCORE: 9.190562 | ITEM NUMBER 169 | ITEM ID: 3094464
SCORE: 9.177595 | ITEM NUMBER 170 | ITEM ID: 552168
SCORE: 9.177595 | ITEM NUMBER 171 | ITEM ID: 672661
SCORE: 9.177595 | ITEM NUMBER 172 | ITEM ID: 347501
SCORE: 9.177595 | ITEM NUMBER 173 | ITEM ID: 2787058
SCORE: 9.177595 | ITEM NUMBER 174 | ITEM ID: 2555889
SCORE: 9.142618 | ITEM NUMBER 175 | ITEM ID: 329358
SCORE: 9.063089 | ITEM NUMBER 176 | ITEM ID: 3091962
SCORE: 9.059619 | ITEM NUMBER 177 | ITEM ID: 1236910
SCORE: 8.975091 | ITEM NUMBER 178 | ITEM ID: 628793
SCORE: 8.975091 | ITEM NUMBER 179 | ITEM ID: 2021758
SCORE: 8.952149 | ITEM NUMBER 180 | ITEM ID: 1422991
SCORE: 8.863427 | ITEM NUMBER 181 | ITEM ID: 2373426
SCORE: 8.824064 | ITEM NUMBER 182 | ITEM ID: 371268
SCORE: 8.824064 | ITEM NUMBER 183 | ITEM ID: 1866345
SCORE: 8.824064 | ITEM NUMBER 184 | ITEM ID: 2315172
SCORE: 8.817059 | ITEM NUMBER 185 | ITEM ID: 629253
SCORE: 8.811131 | ITEM NUMBER 186 | ITEM ID: 326029
SCORE: 8.736874 | ITEM NUMBER 187 | ITEM ID: 255081
SCORE: 8.720091 | ITEM NUMBER 188 | ITEM ID: 1130117
SCORE: 8.720091 | ITEM NUMBER 189 | ITEM ID: 368653
SCORE: 8.720091 | ITEM NUMBER 190 | ITEM ID: 311310
SCORE: 8.720091 | ITEM NUMBER 191 | ITEM ID: 1682811
SCORE: 8.720091 | ITEM NUMBER 192 | ITEM ID: 1467525
SCORE: 8.720091 | ITEM NUMBER 193 | ITEM ID: 1742832
SCORE: 8.720091 | ITEM NUMBER 194 | ITEM ID: 1822398
SCORE: 8.720091 | ITEM NUMBER 195 | ITEM ID: 3255124
SCORE: 8.720091 | ITEM NUMBER 196 | ITEM ID: 5712417
SCORE: 8.709065 | ITEM NUMBER 197 | ITEM ID: 564516
SCORE: 8.709065 | ITEM NUMBER 198 | ITEM ID: 783285
SCORE: 8.709065 | ITEM NUMBER 199 | ITEM ID: 1124430
SCORE: 8.709065 | ITEM NUMBER 200 | ITEM ID: 1121371
SCORE: 8.709065 | ITEM NUMBER 201 | ITEM ID: 1160763
SCORE: 8.709065 | ITEM NUMBER 202 | ITEM ID: 1161454
SCORE: 8.709065 | ITEM NUMBER 203 | ITEM ID: 1635537
SCORE: 8.709065 | ITEM NUMBER 204 | ITEM ID: 79800
SCORE: 8.709065 | ITEM NUMBER 205 | ITEM ID: 54375
SCORE: 8.709065 | ITEM NUMBER 206 | ITEM ID: 2174826
SCORE: 8.709065 | ITEM NUMBER 207 | ITEM ID: 1879470
SCORE: 8.709065 | ITEM NUMBER 208 | ITEM ID: 4153706
SCORE: 8.697831 | ITEM NUMBER 209 | ITEM ID: 634049
